id,split,V,A,D,text,anger,disgust,fear,joy,sadness,surprise
1,train,2.29,3.29,2.86,Mortar assault leaves at least 18 dead,22,2,60,0,64,0
10,train,3.5,2.88,3.0,Alonso would be happy to retire with three titles,0,0,0,61,24,0
100,train,2.88,3.0,3.0,Report criticises US press freedoms,25,24,6,21,13,13
1000,train,2.0,3.62,2.75,Terror officials see Al Qaeda chiefs regaining power,13,11,86,0,16,3
1001,train,2.8,3.0,3.0,"Ivrea journal: In Italian town, a civics lesson from pelting neighbors",0,5,0,3,0,25
1003,train,2.71,2.86,3.29,Princess and heir of Franz Ferdinand fights to repeal a law and gain a castle,33,3,8,39,0,16
1004,train,2.9,2.8,2.9,"A film star in Kampala, conjuring aminos ghost",0,0,29,9,0,22
1005,train,2.4,3.1,2.8,Militants attack U.S. base in Iraq,37,9,84,0,26,2
1006,dev,2.1,3.5,2.6,North Africa feared as staging ground for terror,18,17,88,0,23,7
1007,train,2.75,2.88,3.25,"Iran says Sunnis, using Pakistan as base, planned fatal bombing",19,9,83,0,16,16
1008,train,2.7,3.1,3.1,Anglicans rebuke U.S. branch on same-sex unions,23,15,12,0,17,12
1009,train,2.3,3.2,2.8,Homemade bombs kill 65 on Indian train,23,10,60,0,94,21
101,test,2.78,3.11,3.22,French suburb riots could resume,6,0,50,0,22,0
1010,test,2.4,3.0,3.0,Al Qaeda chiefs are seen to regain power,15,8,82,0,20,6
1011,train,2.25,3.25,3.38,Chvez threatens to jail violators of price controls,53,1,45,5,2,13
1012,train,2.8,2.8,2.8,Bush declares Iran's arms role in Iraq is certain,24,3,53,0,27,14
1013,train,3.0,2.9,3.0,Accord on North Korea is announced,0,0,5,60,0,12
1015,train,3.7,3.3,3.4,"Baghdad plan is a success, Iraq prime minister tells Bush",14,15,17,45,16,17
1017,test,2.67,3.33,3.22,"Dispute over Iraqi cleric, said to have gone to Iran",29,2,28,0,2,22
1018,test,2.9,3.1,3.1,Planning seen in Iraqi attacks on U.S. copters,29,2,54,0,37,27
1019,train,2.5,3.1,2.5,"In the world of life-saving drugs, a growing epidemic of deadly fakes",15,16,48,15,62,34
102,train,2.5,3.1,2.8,Photographer kidnapping condemned,47,55,0,21,33,3
1021,dev,2.78,3.0,3.0,"Books on science: The problems in modeling nature, with its unruly natural tendencies",0,0,7,0,8,12
1022,train,3.0,3.0,3.0,Believing scripture but playing by science's rules,0,0,0,8,0,26
1023,train,3.33,3.44,3.11,"A familiar and prescient voice, brought to life",0,0,0,64,0,18
1024,train,3.2,3.0,3.1,Findings : A cool $25 million for a climate backup plan,15,15,16,25,16,28
1025,train,3.09,3.09,3.18,Call it serendipity: a missing piece of Washington's war tent is found,2,0,3,52,4,37
1026,dev,3.0,3.0,3.25,"Free Will: Now you have it, now you don't",4,0,14,0,16,27
1027,train,3.0,2.8,3.2,Archaeologists find signs of early chimps' tool use,0,0,2,23,0,64
1028,train,3.0,3.14,3.43,Wizardry at Harvard: physicists move light,0,0,2,31,0,64
1029,train,2.3,3.5,2.5,The summit - a slap in the face of the Palestinians,18,34,17,0,32,9
103,train,2.2,3.5,2.3,Photographer kidnapped in Gaza,55,56,40,0,54,24
1030,test,3.0,3.0,2.9,Moscow says Palestine-Israeli contacts key to Mideast peace,4,2,4,37,17,8
1031,train,2.5,2.7,2.5,Mideast summit edns with little progress,8,8,9,12,36,1
1033,train,3.0,3.37,2.91,Pakistan-India peace talks planned despite bombings,4,4,24,58,18,22
1034,train,2.3,3.3,2.8,"Czechs, Poles get missile warning",11,4,68,0,6,23
1035,train,3.0,3.1,3.4,Russia warns US against missile bases in East Europe,48,13,53,0,0,0
1036,train,3.1,3.0,3.3,"Cheney starts visit to Japan, Australia",0,0,0,5,0,2
1037,test,3.1,2.9,3.0,China: Cheney shores up the trilateral alliance,12,12,15,24,13,3
1038,train,2.3,3.3,2.6,Iraq insurgents attack US base,27,3,64,0,26,9
1039,train,2.2,2.9,2.8,US soldiers die in day of violence,32,14,28,0,89,0
104,train,3.3,3.1,3.2,Baseball: Rogers enjoys his muddied streak,0,0,0,67,0,15
1040,train,2.37,3.0,2.82,Iraqi suicide attack kills two US troops as militants fight purge,28,16,54,0,69,8
1041,train,2.86,3.0,3.14,Iran reneges on nuclear payments to Russia,21,14,30,0,6,15
1042,train,2.7,3.1,3.0,Top Colombia official resigns,4,0,11,8,31,19
1043,train,2.8,3.0,3.1,Colombia FM resigns after relatives' arrests for militia links,15,12,34,14,35,31
1044,train,2.5,3.1,2.7,Foreign minister of Colombia quits in scandal,7,25,14,25,21,23
1045,train,2.8,2.9,3.1,New Zealand unlikely to allow crippled Japanese whaler,11,1,5,8,35,14
1046,train,2.86,3.0,2.86,Damaged Japanese whaling ship may resume hunting off Antarctica,11,10,20,30,31,12
1047,dev,2.4,2.9,2.9,Japanese whaling ship won't accept help,6,18,7,0,12,15
1048,train,3.0,2.7,2.9,Iran top N-envoy heads for Vienna for nuke talks,2,0,22,29,11,11
1049,train,2.3,3.2,2.9,Victims of Air India still wait for justice,49,17,15,0,54,17
105,train,3.2,3.1,3.1,"Cultural revolutionary, the iPod is five",0,0,0,62,0,16
1050,train,2.38,3.12,3.38,Kanishka bombing case: Inquiry judge threatens to quit,23,25,20,0,12,13
1051,train,2.8,3.2,3.0,Judge threatens to shut down Air-India inquiry,46,2,14,0,16,11
1052,train,3.29,3.0,3.14,Royal rescues presidential hopes with commanding performance,0,0,3,42,0,20
1053,train,3.1,2.8,3.1,Royal seeks to revive French bid,0,0,0,16,0,3
1054,train,3.4,3.1,3.1,Sarkozy comfort zone offers a royal opportunity,0,0,0,41,0,14
1055,train,2.64,2.82,3.27,"Hicks first in line for trial, Bush says",9,2,12,1,12,10
1056,train,2.9,3.1,3.0,Australia tells Bush to speed up Guantanamo trial,26,17,19,27,20,36
1058,train,2.75,3.0,3.0,France ends toxic alert at Canadian embassy in Paris,0,0,36,35,0,12
1059,train,3.0,3.0,2.9,Paris police investigate package at Canadian embassy,6,4,37,8,12,7
106,test,2.9,2.8,2.9,Life on Mars? Maybe We Missed It,0,2,0,11,3,29
1060,train,3.0,3.2,3.0,False alarm at Canadian embassy in Paris,2,19,23,16,3,9
1062,train,3.0,3.0,2.86,Taliban seize rural district in southwest as police flee,27,12,51,0,41,19
1063,train,2.67,3.17,3.0,Afghan poppy war alienates farmers,10,0,33,0,43,6
1064,train,3.0,2.87,3.0,Will North Korea honor pledge this time?,0,5,12,14,1,11
1065,train,2.6,3.0,3.2,Kim Jong-il bans Japanese cars in North Korea,18,15,8,0,17,35
1066,train,2.88,2.75,2.88,Iran vs. North Korea: not all enemies are equal,26,9,24,0,12,0
1067,train,3.2,2.9,3.0,Catholic archbishop outlines Anglican merger hopes,0,0,0,26,0,19
1068,train,2.9,3.0,2.9,Anglican and Catholic churches could merge,0,0,0,40,0,27
1069,train,1.7,3.4,2.7,US helicopter crash kills 8 troops in Afghanistan,15,15,32,0,91,2
1070,train,2.0,3.14,2.86,Eight US soldiers killed in Zabul helicopter crash,15,16,18,0,90,2
1071,train,3.4,3.0,3.2,Arroyo lauds passage of anti-terror bill,2,0,8,52,1,14
1072,train,3.0,2.9,2.9,House passes anti-terrorism measure Manila,2,2,5,49,1,15
1073,train,3.0,2.5,3.12,Livingstone's transport empire may extend,0,0,9,37,0,9
1074,train,3.2,3.3,3.3,"London is pace-setter on congestion toll, says mayor",5,3,7,27,10,6
1075,train,2.78,3.22,3.11,Protest greets congestion charge's westward push,16,11,9,15,8,2
1076,train,2.1,3.2,3.0,"Thailand attacks kill three, injure 70",22,10,42,0,76,16
1077,train,3.4,3.1,3.3,Thai Govt moves to smooth over relations with south,0,0,2,43,2,15
1078,train,2.2,3.3,2.9,Bombings say Muslim rebels won't negotiate,48,15,49,0,26,15
1079,train,2.9,2.8,2.8,Roots of autism more complex than thought,0,0,15,1,25,45
1080,train,3.0,3.0,3.38,Largest ever autism study identifies two genetic culprits,0,0,12,16,21,30
1081,test,3.88,3.5,3.25,Canadian breakthrough offers hope on autism,0,0,6,48,10,18
1082,train,2.8,3.3,3.0,Beware of peanut butter pathogens,0,0,37,6,17,16
1083,train,3.25,2.88,3.25,Experts offer advice on salmonella,0,0,23,24,2,4
1084,dev,3.0,3.1,3.2,Experts issue new heart disease guidelines for women,0,0,16,37,24,16
1085,test,3.4,3.1,3.3,"For women, aspirin a day could keep stroke away",0,0,7,41,6,21
1086,dev,2.3,2.8,2.8,High cholesterol raises stroke risk healthy women,0,0,45,0,17,23
1087,train,2.8,3.1,2.9,Cooked chicken breasts join tainted-food recalls,16,4,44,30,13,21
1088,dev,3.1,3.0,2.8,Ready to eat chicken breasts recalled due to suspected listeria,16,5,52,30,16,28
1089,train,2.89,3.11,3.11,Fully-cooked chicken strips recalled,10,3,19,14,16,43
1090,train,3.0,3.0,2.9,Committee debates cancer vaccine plan,3,0,10,15,11,32
1091,test,3.22,3.33,3.22,Stop cancer with a shot,0,0,4,41,9,25
1092,train,2.88,3.12,3.12,1 mln birds to be vaccinated from bird flu near Moscow,0,0,19,42,5,34
1093,train,2.4,3.2,3.0,Thousands tested after Russian H5N1 outbreak,0,0,61,23,26,5
1094,train,2.0,3.6,2.3,"Russian bird flu outbreak is deadly ""Asian strain""",0,0,71,0,18,22
1095,train,2.2,3.1,2.8,Bernard Matthews to lay off up to 500 workers,15,10,20,0,64,38
1098,train,2.6,3.1,3.0,Goodbye to girlhood,0,0,7,0,21,7
1099,train,2.3,3.2,2.8,Media cited for showing girls as sex objects,50,45,12,14,29,15
11,train,3.2,2.7,3.1,Madonna's New Tot 'Happy at Home' in London,0,0,0,63,0,0
110,train,2.5,2.8,2.8,Inconvenient truths,12,3,5,0,8,3
1100,train,2.3,3.1,2.8,Sexualisation 'harms' young girls,23,16,11,0,19,6
1101,train,2.89,3.0,3.0,A shot in the arm,0,0,53,0,9,3
1102,dev,3.12,2.88,2.88,Thousands line up to get late flu shots,2,0,41,25,6,9
1103,train,3.25,3.0,3.25,King county offering some free flu vaccines,0,0,9,49,5,23
1104,train,3.14,3.14,3.14,Bush vows cooperation on health care,0,7,10,60,10,0
1105,train,3.0,2.9,2.9,Health returns as hot issue in '08 race,0,2,8,39,3,15
1106,train,3.18,3.0,3.18,Small-business owners find Bush health plan appealing,0,0,0,58,0,14
1107,train,2.89,3.33,3.44,Pediatricians say more cord blood is needed now,0,0,23,0,12,13
1108,train,3.0,3.0,3.0,Whether to save cord blood can be puzzle for parents,0,0,13,8,0,29
1109,train,3.6,2.8,3.1,Retinal implant helping blind people see again,0,0,0,80,2,24
111,train,2.71,2.86,3.0,Dating difficult for Harry Potter,4,0,0,0,0,8
1110,train,2.7,3.1,2.9,"Indonesia ""will not share"" flu samples",18,18,11,0,30,39
1111,train,3.0,2.88,3.25,Health Canada issues advice on canned tuna,0,0,26,26,0,16
1112,train,3.0,3.0,3.0,Cholesterol link in diabetes study,0,0,22,13,28,23
1113,test,3.6,3.2,3.1,Pig cells hope for diabetes cure,0,0,3,35,2,38
1114,dev,2.63,2.88,2.75,Sick hearts switch on a fetal gene,0,0,14,9,25,29
1115,train,3.6,3.1,3.1,Foetal mechanism helps heart failure,0,0,22,24,15,38
1116,train,2.9,2.9,2.9,"Planned cesareans not risk-free, group warns",0,0,61,0,15,11
1117,train,3.3,2.8,3.2,Scientists tout cocoa's health benefits,0,0,0,60,0,20
