id,instance,anger,disgust,fear,joy,sadness,surprise,VADER_neg,VADER_neu,VADER_pos,VADER_compound,TextBlob_polarity,TextBlob_subjectivity,AFINN
1,Mortar assault leaves at least 18 dead,22,2,60,0,64,0,0.618,0.382,0.0,-0.8442,-0.25,0.4,-5.0
2,Goal delight for Sheva,0,0,0,93,0,38,0.0,0.435,0.565,0.5994,0.0,0.0,3.0
3,Nigeria hostage feared dead is freed,18,0,52,66,20,65,0.568,0.227,0.205,-0.7003,-0.2,0.4,-3.0
4,Bombers kill shoppers,66,39,94,0,86,0,0.701,0.299,0.0,-0.6908,0.0,0.0,-3.0
5,"Vegetables, not fruit, slow brain decline",0,0,25,26,2,46,0.0,1.0,0.0,0.0,-0.30000000000000004,0.39999999999999997,0.0
6,PM: Havana deal a good experiment,0,0,0,34,0,28,0.0,0.58,0.42,0.4404,0.7,0.6000000000000001,3.0
7,Kate is marrying Doherty,0,0,0,71,0,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,NASA revisiting life on Mars question,0,0,0,23,0,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,"Happy birthday, iPod",0,0,0,71,0,3,0.0,0.351,0.649,0.5719,0.8,1.0,3.0
10,Alonso would be happy to retire with three titles,0,0,0,61,24,0,0.0,0.684,0.316,0.5719,0.8,1.0,3.0
11,Madonna's New Tot 'Happy at Home' in London,0,0,0,63,0,0,0.0,0.654,0.346,0.5719,0.4681818181818182,0.7272727272727273,3.0
12,Nicole Kidman asks dad to help stop husband's drinking,14,0,20,0,28,16,0.185,0.588,0.227,0.128,0.0,0.0,1.0
13,United Finds Good Connection in Win,0,0,0,63,0,6,0.0,0.24,0.76,0.8591,0.75,0.5,8.0
14,'Runway': Making Good Without Making Nice,0,3,0,22,0,6,0.253,0.433,0.314,0.1451,0.6499999999999999,0.8,6.0
15,"We were 'arrogant and stupid' over Iraq, says US diplomat",42,30,25,23,81,45,0.452,0.548,0.0,-0.765,-0.7999999999999999,1.0,-4.0
16,Bad reasons to be good,9,3,0,15,25,3,0.372,0.319,0.309,-0.1531,5.551115123125783e-17,0.6333333333333333,0.0
